X,Y,objectid,featuretype,class,name,operationalstatus,state,spatialconfidence,revised,ga_guid,description,voltagekv,locality,comment_,x_coordinate,y_coordinate
149.11669728,-35.1723271779999,62,Substation,Zone,Gold Creek,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{94B9C288-0920-4A33-A562-882E4E15A75F},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Ngunnawal,,149.11669728,-35.17232718
149.09549097,-35.384092009,63,Substation,Zone,Wanniassa,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{03A5D8DE-A856-4CF0-8D47-2C857815AA35},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,ACT Remainder - Tuggeranong,,149.09549097,-35.38409201
149.109038337,-35.269505968,64,Substation,Zone,Civic,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{389337FE-21E4-4FEA-93F1-0F24E97343A7},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,ACT Remainder - Canberra Central,,149.10903834,-35.26950597
149.150215251,-35.2693299109999,65,Substation,Zone,City East,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{F5641C65-CEA7-468A-8062-E650E8FF079E},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Ainslie,,149.15021525,-35.26932991
149.142900527,-35.3106950129999,66,Substation,Zone,Telopea Park,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{5862E522-ACEF-41C1-9500-970C8E485558},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Kingston,,149.14290053,-35.31069501
149.180894326,-35.331268817,67,Substation,Zone,Fyshwick,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{B3EBA4D3-DDD5-4DD3-A49C-EE5405B99DBD},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Fyshwick,,149.18089433,-35.33126882
149.117322302,-35.4596264429999,68,Substation,Zone,Theodore,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{6842BBBB-17EF-492E-890E-22089E7BCA5E},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Theodore,,149.1173223,-35.45962644
149.081878979,-35.2291557039999,69,Substation,Zone,Belconnen,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{98B053F0-2746-4A8B-8F38-F25A80D318FF},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Lawson,,149.08187898,-35.2291557
149.037781014,-35.2151162399999,70,Substation,Zone,Latham,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{183F4485-AA26-46DB-8B83-72923BBA9419},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Latham,,149.03778101,-35.21511624
149.148970557,-35.3153327969999,71,Substation,Switchyard,Causeway,Operational,Australian Capital Territory,5,2017/02/23 00:00:00+00,{C67AA0A0-EF91-47C8-B7A2-8F78C9C86FB9},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Kingston,,149.14897056,-35.3153328
